order_id,order_date,customer_id,customer_name,customer_segment,country,city,product_id,category,product_name,quantity,unit_price,discount,payment_method,shipping_mode,order_status,rating,total_amount,profit,marketing_channel
ORD0000000001,2023-01-01 00:17:00,CUST100037,Omar Kone,Small Business,Ghana,Accra,PROD00031,Sports,Training Gloves,5,6.96,0.15,Credit Card,Pickup Point,Returned,5,29.58,7.99,Marketplace
ORD0000000002,2023-01-01 00:34:00,CUST100074,Lina Khalil,Home Office,Egypt,Cairo,PROD00062,Groceries,Rice Bag,9,7.93,0.05,Credit Card,Same Day,Processing,4,67.80,15.59,Referral
ORD0000000003,2023-01-01 00:51:00,CUST100111,Noah Diallo,Corporate,Tunisia,Tunis,PROD00093,Books,Business Analytics,4,8.90,0.20,Credit Card,Express,Shipped,3,28.48,5.41,Email
ORD0000000004,2023-01-01 01:08:00,CUST100148,Maya Adeyemi,Consumer,Morocco,Casablanca,PROD00124,Fashion,Cotton Shirt,8,9.87,0.10,Credit Card,Standard,Delivered,2,71.06,10.66,Social Media
ORD0000000005,2023-01-01 01:25:00,CUST100185,Adam Mansour,Small Business,Ghana,Accra,PROD00155,Health,Water Bottle,3,10.84,0.00,Credit Card,Pickup Point,Delivered,1,32.52,3.58,Paid Search
ORD0000000006,2023-01-01 01:42:00,CUST100222,Sara Mensah,Home Office,Egypt,Cairo,PROD00186,Furniture,Bookcase,7,11.81,0.15,Credit Card,Same Day,Delivered,5,70.27,21.08,Organic Search
ORD0000000007,2023-01-01 01:59:00,CUST100259,Youssef Ndiaye,Corporate,Tunisia,Tunis,PROD00217,Office Supplies,Desk Organizer,2,12.78,0.05,Credit Card,Express,Returned,4,24.28,6.31,Marketplace
ORD0000000008,2023-01-01 02:16:00,CUST100296,Nora Toure,Consumer,Morocco,Casablanca,PROD00248,Electronics,Bluetooth Speaker,6,13.75,0.20,Credit Card,Standard,Processing,3,66.00,14.52,Referral
ORD0000000009,2023-01-01 02:33:00,CUST100333,Karim Okafor,Small Business,Ghana,Accra,PROD00279,Sports,Training Gloves,1,14.72,0.10,Credit Card,Pickup Point,Shipped,2,13.25,2.38,Email
ORD0000000010,2023-01-01 02:50:00,CUST100370,Hana Traore,Home Office,Egypt,Cairo,PROD00310,Groceries,Rice Bag,5,15.69,0.00,Credit Card,Same Day,Delivered,1,78.45,10.98,Social Media
ORD0000000011,2023-01-01 03:07:00,CUST100407,Elias Ali,Corporate,Tunisia,Tunis,PROD00341,Books,Business Analytics,9,16.66,0.15,Credit Card,Express,Delivered,5,127.45,12.75,Paid Search
ORD0000000012,2023-01-01 03:24:00,CUST100444,Leila Hassan,Consumer,Morocco,Casablanca,PROD00372,Fashion,Cotton Shirt,4,17.63,0.05,Credit Card,Standard,Delivered,4,66.99,19.43,Organic Search
ORD0000000013,2023-01-01 03:41:00,CUST100481,Ilyas Abdi,Small Business,Ghana,Accra,PROD00403,Health,Water Bottle,8,18.60,0.20,Credit Card,Pickup Point,Returned,3,119.04,29.76,Marketplace
ORD0000000014,2023-01-01 03:58:00,CUST100518,Mariam Bennani,Home Office,Egypt,Cairo,PROD00434,Furniture,Bookcase,3,19.57,0.10,Credit Card,Same Day,Processing,2,52.84,11.10,Referral
ORD0000000015,2023-01-01 04:15:00,CUST100555,Rayan Kone,Corporate,Tunisia,Tunis,PROD00465,Office Supplies,Desk Organizer,7,20.54,0.00,Credit Card,Express,Shipped,1,143.78,24.44,Email
ORD0000000016,2023-01-01 04:32:00,CUST100592,Amina Khalil,Consumer,Morocco,Casablanca,PROD00496,Electronics,Bluetooth Speaker,2,21.51,0.15,Credit Card,Standard,Delivered,5,36.57,4.75,Social Media
ORD0000000017,2023-01-01 04:49:00,CUST100629,Omar Diallo,Small Business,Ghana,Accra,PROD00527,Sports,Training Gloves,6,22.48,0.05,Credit Card,Pickup Point,Delivered,4,128.14,11.53,Paid Search
ORD0000000018,2023-01-01 05:06:00,CUST100666,Lina Adeyemi,Home Office,Egypt,Cairo,PROD00558,Groceries,Rice Bag,1,23.45,0.20,Credit Card,Same Day,Delivered,3,18.76,5.25,Organic Search
